Week,SunDate,SunOatmeal,SunEgg,SunBfast1,SunBfast2,SunHol,SunLE1,SunLE2,SunLS1,SunLS2,SunLS3,SunSoup,SunSand,SunSalad,SunVeg,SunDE1,SunDE2,SunDS1,SunDS2,SunDS3,SunDes,MonDate,MonOatmeal,MonEgg,MonBfast1,MonBfast2,MonHol,MonLE1,MonLE2,MonLS1,MonLS2,MonLS3,MonSoup,MonSand,MonSalad,MonVeg,MonDE1,MonDE2,MonDS1,MonDS2,MonDS3,MonDes,TueDate,TueOatmeal,TueEgg,TueBfast1,TueBfast2,TueHol,TueLE1,TueLE2,TueLS1,TueLS2,TueLS3,TueSoup,TueSand,TueSalad,TueVeg,TueDE1,TueDE2,TueDS1,TueDS2,TueDS3,TueDes,WedDate,WedOatmeal,WedEgg,WedBfast1,WedBfast2,WedHol,WedLE1,WedLE2,WedLS1,WedLS2,WedLS3,WedSoup,WedSand,WedSalad,WedVeg,WedDE1,WedDE2,WedDS1,WedDS2,WedDS3,WedDes,ThuDate,ThuOatmeal,ThuEgg,ThuBfast1,ThuBfast2,ThuHol,ThuLE1,ThuLE2,ThuLS1,ThuLS2,ThuLS3,ThuSoup,ThuSand,ThuSalad,ThuVeg,ThuDE1,ThuDE2,ThuDS1,ThuDS2,ThuDS3,ThuDes,FriDate,FriOatmeal,FriEgg,FriBfast1,FriBfast2,FriHol,FriLE1,FriLE2,FriLS1,FriLS2,FriLS3,FriSoup,FriSand,FriSalad,FriVeg,FriDE1,FriDE2,FriDS1,FriDS2,FriDS3,FriDes,SatDate,SatOatmeal,SatEgg,SatBfast1,SatBfast2,SatHol,SatLE1,SatLE2,SatLS1,SatLS2,SatLS3,SatSoup,SatSand,SatSalad,SatVeg,SatDE1,SatDE2,SatDS1,SatDS2,SatDS3,SatDes
Current,6/14,Oatmeal,Scrambled Eggs,0,0,army.gif,French Onion Pork Chop,Tilapia w/Garlic Lemon Herb Sauce,Roasted Red Potatoes,Skillet Cabbage,0,Cream of Spinach Soup,Turkey & Provolone Sandwich,Crispy Oriental Chicken Salad,Sauteed Spinach,Italian Sausage w/Peppers & Onions,0,Corn Nuggets,0,0,Lemon Meringue Pie,6/15,Oatmeal,Eggs to Order,Cream Chipped Beef,0,,Chicken Bacon Ranch Sandwich,0,Creamy Cucumber Slaw,0,0,Cream of Potato Soup,Ham & Swiss Sandwich,Chef Salad,Green Beans,Meatballs in Marinara,Pork Tenderloin Diane,Buttered Spaghetti,Roasted Beets,0,Apple Pie,6/16,Oatmeal,Scrambled Eggs,Strawberry Pancakes,Breakfast Sausage,,Patty Melt,0,Four Bean Salad,0,0,Turkey Noodle Soup,Tuna Salad Sandwich,Taco Salad,Steamed Broccoli,Pork & Sauerkraut,Country Fried Steak,Mashed Potatoes,Buttered Corn,0,Jell-O Poke Cake,6/17,Cherry Baked Oatmeal,Scrambled Eggs,Breakfast Potatoes,0,,Red Pepper Pesto Turkey Sandwich,0,Sweet Potato Fries,0,0,Chicken Corn Soup,Ham Salad on Croissant,Caprese Salad,Roasted Squash Blend,Shrimp Fried Rice,Balsamic Herb Chicken Thigh,Egg Roll,Roasted Root Vegetables,0,Oreo Delight,6/18,Oatmeal,Scrambled Eggs,Cinnamon French Toast,Bacon,,Sloppy Joe,0,Potato Salad,0,0,Split Pea Soup w/Ham,Chicken Salad Wrap,BLT Salad,Buttered Beets,Vodka Penne w/Chicken,Orange Glazed Ham,Buttered Penne,California Vegetable Blend,0,Cream Cheese Brownie,6/19,Oatmeal,Eggs to Order,Sausage Patty,0,,American Sub,0,Macaroni Salad,0,0,Seafood Bisque,Turkey & Swiss Sandwich,Chicken Salad Platter,Green Beans,BBQ Baked Pork Ribs,Braised Swiss Steak,Cornbread,Steamed Cauliflower,0,Lemon Blueberry Cake,6/20,Oatmeal,Scrambled Eggs,Sausage Gravy & Biscuit,0,,Crispy Chicken Sandwich,0,Ranch Pasta Salad,0,0,Beef Rice Soup,Egg Salad Sandwich,Turkey Chef Salad,Buttered Corn,Seafood Stuffed Flounder,Cheese Tortellini w/Meat Sauce,Rice Pilaf,Asparagus in Brown Butter,0,Fruited Jell-O
Next,6/21,Oatmeal,Scrambled Eggs,0,0,,Pot Roast,Dijon Crusted Cod,Baked Potat,Herb Baked Tomato,0,French Onion Soup,Ham & Swiss Sandwich,Cottage Cheese & Fresh Fruit,Steamed Broccoli,Pepperoni Pizza,0,Garden Pasta Salad,0,0,Chocolate Cake w/Ganache,6/22,Oatmeal,Eggs to Order,Cream Chipped Beef,0,memorial.gif,Shrimp Po'Boy,0,Mexican Corn Salad,0,0,Beef Vegetable Soup,"Turkey, Provolone, Bacon Sandwich",Berry Almond Chicken Salad,Green Peas,Chicken Marsala,French Onion Pork Cho,Herbed Orzo,Dill Carrots,0,Carrot Cake,6/23,Oatmeal,Scrambled Eggs,Strawberry Pancakes,Breakfast Sausage,,Bacon Cheeseburger,0,Tater Tots,0,0,Bacon Corn Chowder,Ham Salad Sandwich,Seafood Salad Platter,Roasted Brussels Sprouts,Tiapia w/Garlic Lemon Herb Sauce,Bourbon Glazed Chicken Thigh,Cornbread,Seasoned Yellow Squash,0,Mandarin Orange Cake,6/24,Blueberry Baked Oatmeal,Scrambled Eggs,Breakfast Potatoes,0,,Cuban Sandwich,0,Onion Rings,0,0,Chicken Gumbo Soup,Roast Beef & Cheddar Sandwich,Greek Salad w/Chicken,Buttered Spinach,Chicken Cordon Bleu,Stuffed Green Pepper,Wild Rice Blend,Steamed Cauliflower,0,Tiramisu,6/25,Oatmeal,Scrambled Eggs,Cinnamon French Toast,Bacon,,Steak Quesadilla,0,Guacamole,0,0,Smokey Cheddar Soup,Chicken Salad Wrap,Cobb Salad,Asparagus in Brown Butter,Baked Salmon w/Creamy Dill Sauce,Pineapple Glazed Ham Steak,Rice Pilaf,Honey Glazed Carrots,0,Peanut Butter Pie,6/26,Oatmeal,Eggs to Order,Sausage Patty,0,,Ham & Pepperoni Stromboli,0,Tortellini Pasta Salad,0,0,Stuffed Pepper Soup,Turkey & Swiss Sandwich,Mediterranean Chickpea Salad,California Vegetable Blend,Marinated Chicken Quarter,Salisbury Steak,Mashed Potatoes,Roasted Root Vegetables,0,Frosted Spice Cake,6/27,Oatmeal,Scrambled Eggs,Sausage Gravy & Biscuit,0,,Grilled Ham & Cheese,0,Potato Salad,0,0,Cream of Tomato Soup,Egg Salad Sandwich,Apple Cranberry Spinach Salad,Broccoli w/Lemon Butter,Shepherd's Pie,Balsamic Mustard Pork Tenderloin,Biscuit,Corn Pudding,0,Key Lime Pie
